transaction_id,timestamp,num_items,total_amount,payment_type
100000,2025-04-01 07:17:19,2,7.63,Debit Card
100001,2025-04-01 05:39:12,3,14.02,Cash
100002,2025-04-01 12:01:54,4,20.79,Debit Card
100003,2025-04-01 20:51:16,3,17.23,Mobile Pay
100004,2025-04-01 15:07:31,4,22.53,Mobile Pay
100005,2025-04-01 05:43:07,2,12.51,Debit Card
100006,2025-04-01 14:22:22,1,5.46,Mobile Pay
100007,2025-04-01 20:08:04,2,7.29,Debit Card
100008,2025-04-01 14:58:55,2,11.64,Debit Card
100009,2025-04-01 19:25:53,2,10.04,Cash
100010,2025-04-01 02:28:11,2,11.49,Debit Card
100011,2025-04-01 07:52:09,4,20.81,Debit Card
100012,2025-04-01 04:33:36,4,22.88,Mobile Pay
100013,2025-04-01 12:46:33,4,20.31,Mobile Pay
100014,2025-04-01 22:27:52,4,15.44,Cash
100015,2025-04-01 00:43:08,1,5.13,Credit Card
100016,2025-04-01 12:04:11,3,18.16,Cash
100017,2025-04-01 03:46:55,2,7.36,Debit Card
100018,2025-04-01 07:59:52,1,4.68,Mobile Pay
100019,2025-04-01 19:54:44,4,19.22,Cash
100020,2025-04-01 07:31:13,4,19.93,Credit Card
100021,2025-04-01 21:17:44,2,11.24,Debit Card
100022,2025-04-01 08:03:03,4,25.36,Cash
100023,2025-04-01 02:49:27,2,10.56,Debit Card
100024,2025-04-01 10:12:38,1,2.88,Debit Card
100025,2025-04-01 08:31:06,2,10.68,Mobile Pay
100026,2025-04-01 23:57:40,3,14.44,Mobile Pay
100027,2025-04-01 00:50:15,3,19.21,Credit Card
100028,2025-04-01 01:30:20,4,17.5,Debit Card
100029,2025-04-01 19:01:12,3,12.1,Cash
100030,2025-04-01 17:45:45,2,12.69,Debit Card
100031,2025-04-01 05:18:46,1,6.15,Mobile Pay
100032,2025-04-01 20:59:26,3,15.14,Credit Card
100033,2025-04-01 18:54:38,4,20.24,Cash
100034,2025-04-01 23:00:20,3,16.45,Debit Card
100035,2025-04-01 10:32:54,3,13.05,Cash
100036,2025-04-01 01:06:24,1,6.03,Debit Card
100037,2025-04-01 13:44:56,2,7.27,Cash
100038,2025-04-01 18:29:42,3,13.38,Debit Card
100039,2025-04-01 08:13:33,2,11.94,Debit Card
100040,2025-04-01 14:39:12,1,5.69,Debit Card
100041,2025-04-01 13:07:55,1,5.69,Credit Card
100042,2025-04-01 12:36:19,2,10.12,Cash
100043,2025-04-01 13:10:30,3,15.75,Credit Card
100044,2025-04-01 19:44:45,4,22.24,Mobile Pay
100045,2025-04-01 12:37:24,4,19.82,Cash
100046,2025-04-01 07:58:54,4,18.8,Mobile Pay
100047,2025-04-01 12:29:42,3,18.8,Credit Card
100048,2025-04-01 06:32:54,1,7.82,Mobile Pay
100049,2025-04-01 10:24:35,3,13.01,Cash
100050,2025-04-01 08:19:57,2,8.44,Mobile Pay
100051,2025-04-01 11:15:18,4,17.89,Credit Card
100052,2025-04-01 23:57:28,3,13.82,Mobile Pay
100053,2025-04-01 10:53:38,4,22.32,Debit Card
100054,2025-04-01 07:54:00,1,5.13,Mobile Pay
100055,2025-04-01 10:01:34,1,4.35,Cash
100056,2025-04-01 12:31:21,1,4.25,Mobile Pay
100057,2025-04-01 10:29:15,2,13.03,Credit Card
100058,2025-04-01 14:14:46,1,3.59,Mobile Pay
